"tab_code","表章項目","cat01_code","宿泊施設タイプ","cat02_code","宿泊者数","area_code","施設所在地","time_code","時間軸(年次、月次)","unit","value"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2014000606","2014年6月","人","253500"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2014000505","2014年5月","人","266450"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2014000404","2014年4月","人","196040"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2014000303","2014年3月","人","184320"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2014000202","2014年2月","人","158380"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2014000101","2014年1月","人","169030"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2016000000","2016年","人","4227640"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2016001212","2016年12月","人","323330"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2016001111","2016年11月","人","343980"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2016001010","2016年10月","人","441610"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2016000909","2016年9月","人","360440"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2016000808","2016年8月","人","460860"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2016000707","2016年7月","人","383970"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2016000606","2016年6月","人","354770"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2016000505","2016年5月","人","338720"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2016000404","2016年4月","人","294560"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2016000303","2016年3月","人","314540"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2016000202","2016年2月","人","313440"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2016000101","2016年1月","人","297410"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2015000000","2015年","人","4646660"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2015001212","2015年12月","人","338030"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2015001111","2015年11月","人","391960"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2015001010","2015年10月","人","468590"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2015000909","2015年9月","人","426580"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2015000808","2015年8月","人","532050"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2015000707","2015年7月","人","425240"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2015000606","2015年6月","人","364000"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2015000505","2015年5月","人","387250"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2015000404","2015年4月","人","296730"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2015000303","2015年3月","人","359600"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2015000202","2015年2月","人","332540"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2015000101","2015年1月","人","324090"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2014000000","2014年","人","4468190"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2014001212","2014年12月","人","316850"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2014001111","2014年11月","人","367830"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2014001010","2014年10月","人","464240"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2014000909","2014年9月","人","412760"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2014000808","2014年8月","人","547960"
"120","実宿泊者数","100","合計","120","実宿泊者数","06000","山形県","2014000707","2014年7月","人","420620"
